timestamp,device_name,property
2026-03-01T13:31:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T13:34:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T10:52:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T10:55:00Z,Caregiver David Chen,Call Accepted
2026-03-01T11:00:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T11:01:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-02T01:57:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-02T02:01:00Z,Caregiver David Chen,Call Accepted
2026-03-02T02:13:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-02T02:16:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T10:43:00Z,Rm 102 John Smith,Call Button Pressed
2026-03-01T10:48:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T10:58:00Z,Rm 102 John Smith,Resolution Confirmed
2026-03-01T10:58:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T11:13:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T11:19:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T11:24:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T11:27:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T19:08:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T19:12:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T19:24:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T19:27:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-02T00:53:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-02T00:54:00Z,Caregiver David Chen,Call Accepted
2026-03-02T00:58:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-02T01:00:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T09:48:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T09:51:00Z,Caregiver David Chen,Call Accepted
2026-03-01T10:00:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T10:01:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T14:59:00Z,Rm 102 John Smith,Call Button Pressed
2026-03-01T15:04:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T15:09:00Z,Rm 102 John Smith,Resolution Confirmed
2026-03-01T15:09:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-02T03:48:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-02T03:53:00Z,Caregiver David Chen,Call Accepted
2026-03-02T04:05:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-02T04:06:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T11:30:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T11:35:00Z,Caregiver David Chen,Call Accepted
2026-03-01T11:46:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T11:46:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T22:40:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T22:41:00Z,Caregiver David Chen,Call Accepted
2026-03-01T22:45:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T22:47:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T07:58:00Z,Rm 102 John Smith,Call Button Pressed
2026-03-01T08:00:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T08:12:00Z,Rm 102 John Smith,Resolution Confirmed
2026-03-01T08:12:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T08:21:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T08:26:00Z,Caregiver David Chen,Call Accepted
2026-03-01T08:31:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T08:32:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-02T00:45:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-02T00:47:00Z,Caregiver David Chen,Call Accepted
2026-03-02T00:54:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-02T00:57:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T16:38:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T16:42:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-01T16:50:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T16:53:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T10:07:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T10:09:00Z,Caregiver David Chen,Call Accepted
2026-03-01T10:15:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T10:15:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-02T02:04:00Z,Rm 102 John Smith,Call Button Pressed
2026-03-02T02:09:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-02T02:15:00Z,Rm 102 John Smith,Resolution Confirmed
2026-03-02T02:16:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-02T03:32:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-02T03:33:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-02T03:39:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-02T03:39:00Z,Caregiver Maria Lopez,Resolution Confirmed
2026-03-01T08:25:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T08:30:00Z,Caregiver David Chen,Call Accepted
2026-03-01T08:36:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T08:38:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T13:18:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T13:23:00Z,Caregiver David Chen,Call Accepted
2026-03-01T13:28:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T13:31:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T19:53:00Z,Rm 101 Alice Brown,Call Button Pressed
2026-03-01T19:55:00Z,Caregiver David Chen,Call Accepted
2026-03-01T19:59:00Z,Rm 101 Alice Brown,Resolution Confirmed
2026-03-01T19:59:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-01T18:05:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-01T18:09:00Z,Caregiver David Chen,Call Accepted
2026-03-01T18:18:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-01T18:21:00Z,Caregiver David Chen,Resolution Confirmed
2026-03-02T04:59:00Z,Rm 103 Mary Johnson,Call Button Pressed
2026-03-02T05:05:00Z,Caregiver Maria Lopez,Call Accepted
2026-03-02T05:09:00Z,Rm 103 Mary Johnson,Resolution Confirmed
2026-03-02T05:09:00Z,Caregiver Maria Lopez,Resolution Confirmed
